region,municipality,students,year,metadata,city
სამეგრელო–ზემო სვანეთი,ხობი,4366,2010,,მუნიციპალიტეტები
სამცხე–ჯავახეთი,ადიგენი,2804,2010,,პატარა ქალაქები
სამცხე–ჯავახეთი,ასპინძა,1832,2010,,პატარა ქალაქები
სამცხე–ჯავახეთი,ახალქალაქი,8143,2010,,მაღალმთიანი
სამცხე–ჯავახეთი,ახალციხე,6924,2010,,მუნიციპალიტეტები
სამცხე–ჯავახეთი,ბორჯომი,4089,2010,,მუნიციპალიტეტები
სამცხე–ჯავახეთი,ნინოწმინდა,4331,2010,,მაღალმთიანი
ქვემო ქართლი,რუსთავი,19984,2010,,დიდი ქალაქები
ქვემო ქართლი,ბოლნისი,7671,2010,,მუნიციპალიტეტები
ქვემო ქართლი,გარდაბნი,13928,2010,,დიდი ქალაქები
ქვემო ქართლი,დმანისი,3306,2010,,პატარა ქალაქები
ქვემო ქართლი,თეთრი წყარო,3309,2010,,პატარა ქალაქები
ქვემო ქართლი,მარნეული,18459,2010,,დიდი ქალაქები
ქვემო ქართლი,წალკა,3712,2010,,პატარა ქალაქები
შიდა ქართლი,გორი,20544,2010,,დიდი ქალაქები
შიდა ქართლი,კასპი,6136,2010,,მუნიციპალიტეტები
შიდა ქართლი,ქარელი,6670,2010,,მუნიციპალიტეტები
შიდა ქართლი,ხაშური,9288,2010,,10 ქალაქები
შიდა ქართლი,ერედვი,56,2010,,პატარა ქალაქები
შიდა ქართლი,თიღვა,,2010,,პატარა ქალაქები
შიდა ქართლი,ქურთა,,2010,,პატარა ქალაქები
თბილისი,თბილისი,170675,2011,,დედაქალაქი
აფხაზეთის არ,აფხაზეთი,2372,2011,,აფხაზეთი
აჭარის არ,ბათუმი,25740,2011,,დიდი ქალაქები
აჭარის არ,ქედა,2730,2011,,მაღალმთიანი
აჭარის არ,ქობულეთი,11550,2011,,10 ქალაქები
აჭარის არ,შუახევი,3204,2011,,მაღალმთიანი
აჭარის არ,ხელვაჩაური,8303,2011,,10 ქალაქები
აჭარის არ,ხულო,5053,2011,,მაღალმთიანი
გურია,ლანჩხუთი,4243,2011,,მუნიციპალიტეტები
გურია,ოზურგეთი,9057,2011,,10 ქალაქები
გურია,ჩოხატაური,2816,2011,,პატარა ქალაქები
იმერეთი,ქუთაისი,26769,2011,,დიდი ქალაქები
იმერეთი,ტყიბული,2565,2011,,პატარა ქალაქები
იმერეთი,წყალტუბო,6544,2011,,მუნიციპალიტეტები
იმერეთი,ჭიათური,6133,2011,,მუნიციპალიტეტები
იმერეთი,ბაღდათი,2812,2011,,პატარა ქალაქები
იმერეთი,ვანი,3190,2011,,პატარა ქალაქები
იმერეთი,ზესტაფონი,9456,2011,,10 ქალაქები
იმერეთი,თერჯოლა,4489,2011,,მუნიციპალიტეტები
იმერეთი,სამტრედია,7036,2011,,მუნიციპალიტეტები
იმერეთი,საჩხერე,5902,2011,,მუნიციპალიტეტები
იმერეთი,ხარაგაული,2781,2011,,პატარა ქალაქები
იმერეთი,ხონი,3308,2011,,პატარა ქალაქები
კახეთი,ახმეტა,5227,2011,,მუნიციპალიტეტები
კახეთი,გურჯაანი,6771,2011,,მუნიციპალიტეტები
კახეთი,დედოფლისწყარო,3116,2011,,პატარა ქალაქები
კახეთი,თელავი,8600,2011,,10 ქალაქები
კახეთი,ლაგოდეხი,6775,2011,,მუნიციპალიტეტები
კახეთი,საგარეჯო,7152,2011,,მუნიციპალიტეტები
კახეთი,სიღნაღი,4131,2011,,მუნიციპალიტეტები
